depth,sand,event index,median_age,min_age,max_age,data_site
NaN,NaN,0,722.00,NaN,NaN,Basin Bayou2
339.5,5.0484,0,717.90,647.4,803.9,Basin Bayou2
340.5,6.0229,0,696.60,624.6,780.5,Basin Bayou2
NaN,NaN,0,694.70,NaN,NaN,Basin Bayou2
341.5,2.11,0,679.20,602.8,759,Basin Bayou2
342.5,38.1482,0,670.50,589.3,750.1,Basin Bayou2
343.5,27.4704,0,670.50,589.3,750.1,Basin Bayou2
344.5,21.0204,1,670.50,589.3,750.1,Basin Bayou2
NaN,NaN,0,667.50,NaN,NaN,Basin Bayou2
345.5,7.94,0,661.70,581.5,742.6,Basin Bayou2
346.5,6.0247,0,643.90,561.5,729.6,Basin Bayou2
NaN,NaN,0,640.30,NaN,NaN,Basin Bayou2
347.5,4.4864,0,626.30,543.4,713.6,Basin Bayou2
NaN,NaN,0,613.20,NaN,NaN,Basin Bayou2
348.5,5.7269,0,609.00,528.8,697,Basin Bayou2
349.5,6.4502,0,591.60,513.6,678.9,Basin Bayou2
NaN,NaN,0,586.10,NaN,NaN,Basin Bayou2
350.5,2.8826,0,574.20,497,660.4,Basin Bayou2
351.5,10.2515,1,565.50,486.9,653.8,Basin Bayou2
NaN,NaN,0,561.30,NaN,NaN,Basin Bayou2
352.5,7.6444,0,556.60,481.1,639.2,Basin Bayou2
353.5,14.0673,0,547.70,475.3,624.5,Basin Bayou2
354.5,11.5275,1,547.70,475.3,624.5,Basin Bayou2
355.5,6.1783,0,538.40,462.2,618.9,Basin Bayou2
356.5,3.088,0,520.10,439.8,604.4,Basin Bayou2
357.5,1.7899,0,502.30,421.5,586.6,Basin Bayou2
NaN,NaN,0,501.50,NaN,NaN,Basin Bayou2
